t,value
1585418128,42
1585418131,45
1585418134,47
1585418137,47
1585418140,47
1585418143,50
1585418146,52
1585418149,52
1585418152,52
1585418155,52
1585418158,52
1585418161,52
1585418164,52
1585418167,52
1585418170,52
1585418173,52
1585418176,52
1585418179,52
1585418182,52
1585418185,49
1585418188,49
1585418191,49
1585418194,46
1585418197,46
1585418200,46
1585418203,47
1585418206,47
1585418209,47
1585418212,47
1585418215,47
1585418218,47
1585418221,47
1585418224,47
1585418227,47
1585418230,47
1585418233,47
1585418236,47
1585418239,47
1585418242,47
1585418245,47
1585418248,47
1585418251,47
1585418254,47
1585418257,47
1585418260,47
1585418263,46
1585418266,46
1585418269,46
1585418272,46
1585418275,46
1585418278,46
1585418281,46
1585418284,46
1585418287,46
1585418290,46
1585418293,46
1585418296,46
1585418299,46
1585418302,46
1585418305,46
1585418308,46
1585418311,46
1585418314,46
1585418317,46
1585418320,46
1585418323,46
1585418326,46
1585418329,46
1585418332,46
1585418335,46
1585418338,46
1585418341,46
1585418344,46
1585418347,46
1585418350,46
1585418353,46
1585418356,46
1585418359,46
1585418362,46
1585418365,46
1585418368,46
1585418371,46
1585418374,46
1585418377,46
1585418380,46
1585418383,46
1585418386,46
1585418389,46
1585418392,46
1585418395,46
1585418398,46
1585418401,46
1585418404,46
1585418407,46
1585418410,46
1585418413,46
1585418416,46
1585418419,46
1585418422,46
1585418425,46
1585418428,46
1585418431,46
1585418434,46
1585418437,46
1585418440,46
1585418443,46
1585418446,46
1585418449,46
1585418452,46
1585418455,46
1585418458,46
1585418461,46
1585418464,46
1585418467,46
1585418470,46
1585418473,46
1585418476,46
1585418479,46
1585418482,46
1585418485,46
1585418488,46
1585418491,46
1585418494,46
1585418497,46
1585418500,46
1585418503,46
1585418506,46
1585418509,46
1585418512,46
1585418515,46
1585418518,46
1585418521,46
1585418524,46
1585418527,46
1585418530,46
1585418533,46
1585418536,46
1585418539,46
1585418542,46
1585418545,46
1585418548,46
1585418551,46
1585418554,46
1585418557,46
1585418560,46
1585418563,46
1585418566,46
1585418569,46
1585418572,46
1585418575,46
1585418578,46
1585418581,46
1585418584,46
1585418587,46
1585418590,46
1585418593,46
1585418596,46
1585418599,46
1585418602,46
1585418605,46
1585418608,46
1585418611,46
1585418614,46
1585418617,46
1585418620,46
1585418623,46
1585418626,46
1585418629,46
1585418632,46
1585418635,46
1585418638,46
1585418641,46
1585418644,46
1585418647,46
1585418650,46
1585418653,46
1585418656,46
1585418659,46
1585418662,46
1585418665,46
1585418668,46
1585418671,46
1585418674,46
1585418677,46
1585418680,46
1585418683,46
1585418686,46
1585418689,46
1585418692,46
1585418695,46
1585418698,46
1585418701,46
1585418704,46
1585418707,46
1585418710,46
1585418713,46
1585418716,46
1585418719,46
1585418722,46
1585418725,46
1585418728,46
1585418731,46
1585418734,46
1585418737,46
1585418740,46
1585418743,46
1585418746,46
1585418749,46
1585418752,46
1585418755,46
1585418758,46
1585418761,46
1585418764,46
1585418767,46
1585418770,46
