t,value
1585418128,48
1585418131,51
1585418134,53
1585418137,53
1585418140,53
1585418143,56
1585418146,58
1585418149,58
1585418152,58
1585418155,58
1585418158,58
1585418161,58
1585418164,58
1585418167,58
1585418170,58
1585418173,58
1585418176,58
1585418179,58
1585418182,58
1585418185,55
1585418188,55
1585418191,55
1585418194,52
1585418197,52
1585418200,52
1585418203,53
1585418206,53
1585418209,53
1585418212,53
1585418215,53
1585418218,53
1585418221,53
1585418224,53
1585418227,53
1585418230,53
1585418233,53
1585418236,53
1585418239,53
1585418242,53
1585418245,53
1585418248,53
1585418251,53
1585418254,53
1585418257,53
1585418260,53
1585418263,52
1585418266,52
1585418269,52
1585418272,52
1585418275,52
1585418278,52
1585418281,52
1585418284,52
1585418287,52
1585418290,52
1585418293,52
1585418296,52
1585418299,52
1585418302,52
1585418305,52
1585418308,52
1585418311,52
1585418314,52
1585418317,52
1585418320,52
1585418323,52
1585418326,52
1585418329,52
1585418332,52
1585418335,52
1585418338,52
1585418341,52
1585418344,52
1585418347,52
1585418350,52
1585418353,52
1585418356,52
1585418359,52
1585418362,52
1585418365,52
1585418368,52
1585418371,52
1585418374,52
1585418377,52
1585418380,52
1585418383,52
1585418386,52
1585418389,52
1585418392,52
1585418395,52
1585418398,52
1585418401,52
1585418404,52
1585418407,52
1585418410,52
1585418413,52
1585418416,52
1585418419,52
1585418422,52
1585418425,52
1585418428,52
1585418431,52
1585418434,52
1585418437,52
1585418440,52
1585418443,52
1585418446,52
1585418449,52
1585418452,52
1585418455,52
1585418458,52
1585418461,52
1585418464,52
1585418467,52
1585418470,52
1585418473,52
1585418476,52
1585418479,52
1585418482,52
1585418485,52
1585418488,52
1585418491,52
1585418494,52
1585418497,52
1585418500,52
1585418503,52
1585418506,52
1585418509,52
1585418512,52
1585418515,52
1585418518,52
1585418521,52
1585418524,52
1585418527,52
1585418530,52
1585418533,52
1585418536,52
1585418539,52
1585418542,52
1585418545,52
1585418548,52
1585418551,52
1585418554,52
1585418557,52
1585418560,52
1585418563,52
1585418566,52
1585418569,52
1585418572,52
1585418575,52
1585418578,52
1585418581,52
1585418584,52
1585418587,52
1585418590,52
1585418593,52
1585418596,52
1585418599,52
1585418602,52
1585418605,52
1585418608,52
1585418611,52
1585418614,52
1585418617,52
1585418620,52
1585418623,52
1585418626,52
1585418629,52
1585418632,52
1585418635,52
1585418638,52
1585418641,52
1585418644,52
1585418647,52
1585418650,52
1585418653,52
1585418656,52
1585418659,52
1585418662,52
1585418665,52
1585418668,52
1585418671,52
1585418674,52
1585418677,52
1585418680,52
1585418683,52
1585418686,52
1585418689,52
1585418692,52
1585418695,52
1585418698,52
1585418701,52
1585418704,52
1585418707,52
1585418710,52
1585418713,52
1585418716,52
1585418719,52
1585418722,52
1585418725,52
1585418728,52
1585418731,52
1585418734,52
1585418737,52
1585418740,52
1585418743,52
1585418746,52
1585418749,52
1585418752,52
1585418755,52
1585418758,52
1585418761,52
1585418764,52
1585418767,52
1585418770,52
1585418773,52
1585418776,52
1585418779,52
1585418782,52
1585418785,52
1585418788,52
1585418791,52
1585418794,52
1585418797,52
1585418800,52
1585418803,52
1585418806,52
1585418809,52
1585418812,52
1585418815,52
1585418818,52
1585418821,52
1585418824,52
1585418827,52
1585418830,52
1585418833,52
1585418836,52
1585418839,52
1585418842,52
1585418845,52
1585418848,52
1585418851,52
1585418854,52
1585418857,52
1585418860,52
1585418863,52
1585418866,52
1585418869,52
1585418872,52
1585418875,52
1585418878,52
1585418881,52
1585418884,52
1585418887,52
1585418890,52
1585418893,52
1585418896,52
1585418899,52
1585418902,52
1585418905,52
1585418908,52
1585418911,52
1585418914,52
1585418917,52
1585418920,52
1585418923,52
1585418926,52
1585418929,52
1585418932,52
1585418935,52
1585418938,52
1585418941,52
1585418944,52
1585418947,52
1585418950,52
1585418953,52
1585418956,52
1585418959,52
1585418962,52
1585418965,52
1585418968,52
1585418971,52
1585418974,52
1585418977,52
1585418980,52
1585418983,52
1585418986,52
1585418989,52
1585418992,52
1585418995,52
1585418998,52
1585419001,52
1585419004,52
1585419007,52
1585419010,52
1585419013,52
1585419016,52
1585419019,52
1585419022,52
1585419025,52
1585419028,52
1585419031,52
1585419034,52
1585419037,52
1585419040,52
1585419043,52
1585419046,52
1585419049,52
1585419052,52
1585419055,52
1585419058,52
1585419061,52
1585419064,52
1585419067,52
1585419070,52
1585419073,52
1585419076,52
1585419079,52
1585419082,52
1585419085,52
1585419088,52
1585419091,52
1585419094,52
1585419097,52
1585419100,52
1585419103,52
1585419106,52
1585419109,52
1585419112,52
1585419115,52
1585419118,52
1585419121,52
1585419124,52
1585419127,52
1585419130,52
1585419133,52
1585419136,52
1585419139,52
1585419142,52
1585419145,52
1585419148,52
1585419151,52
1585419154,52
1585419157,52
1585419160,52
1585419163,52
1585419166,52
1585419169,52
1585419172,52
1585419175,52
1585419178,52
1585419181,52
1585419184,52
1585419187,52
1585419190,52
1585419193,52
1585419196,52
1585419199,52
1585419202,52
1585419205,52
1585419208,52
1585419211,52
1585419214,53
1585419217,53
1585419220,53
1585419223,52
1585419226,52
1585419229,52
1585419232,52
1585419235,52
1585419238,52
1585419241,52
1585419244,52
1585419247,52
1585419250,52
1585419253,52
1585419256,52
1585419259,52
1585419262,52
1585419265,52
1585419268,52
1585419271,52
1585419274,52
1585419277,52
1585419280,52
1585419283,52
1585419286,52
1585419289,52
1585419292,52
1585419295,52
1585419298,52
1585419301,52
1585419304,52
1585419307,52
1585419310,52
1585419313,52
1585419316,52
1585419319,52
1585419322,52
1585419325,52
1585419328,52
1585419331,52
1585419334,52
1585419337,52
1585419340,52
1585419343,52
1585419346,52
1585419349,52
1585419352,52
1585419355,52
1585419358,52
1585419361,52
1585419364,52
1585419367,52
1585419370,52
1585419373,52
1585419376,52
1585419379,52
1585419382,52
1585419385,52
1585419388,52
1585419391,52
1585419394,52
1585419397,52
1585419400,52
1585419403,52
1585419406,52
1585419409,52
1585419412,52
1585419415,52
1585419418,52
1585419421,52
1585419424,52
1585419427,52
1585419430,52
1585419433,52
1585419436,52
1585419439,52
1585419442,52
1585419445,52
1585419448,52
1585419451,52
1585419454,52
1585419457,52
1585419460,52
1585419463,52
1585419466,52
1585419469,52
1585419472,52
1585419475,52
1585419478,52
1585419481,52
1585419484,52
1585419487,52
1585419490,52
1585419493,52
1585419496,52
1585419499,52
1585419502,52
1585419505,52
1585419508,53
1585419511,53
1585419514,53
1585419517,53
1585419520,52
1585419523,52
1585419526,52
1585419529,52
1585419532,52
1585419535,52
1585419538,52
1585419541,52
1585419544,52
1585419547,52
1585419550,52
1585419553,52
1585419556,52
1585419559,52
1585419562,52
1585419565,52
1585419568,52
1585419571,52
1585419574,52
1585419577,52
1585419580,52
1585419583,52
1585419586,52
1585419589,52
1585419592,52
1585419595,52
1585419598,52
1585419601,52
1585419604,52
1585419607,52
1585419610,52
1585419613,52
1585419616,52
1585419619,52
1585419622,52
1585419625,52
1585419628,52
1585419631,52
1585419634,52
1585419637,52
1585419640,52
1585419643,52
1585419646,52
1585419649,52
1585419652,52
1585419655,52
1585419658,52
1585419661,52
1585419664,52
1585419667,52
1585419670,52
1585419673,52
1585419676,52
1585419679,52
1585419682,52
1585419685,52
1585419688,52
1585419691,52
1585419694,52
1585419697,52
1585419700,52
1585419703,52
1585419706,52
1585419709,52
1585419712,52
1585419715,52
1585419718,52
1585419721,52
1585419724,52
1585419727,52
1585419730,53
1585419733,53
1585419736,53
1585419739,53
1585419742,53
1585419745,53
1585419748,53
1585419751,53
1585419754,53
1585419757,53
1585419760,53
1585419763,53
1585419766,53
1585419769,53
1585419772,53
1585419775,53
1585419778,53
1585419781,53
1585419784,53
1585419787,53
1585419790,52
1585419793,52
1585419796,53
1585419799,52
1585419802,52
1585419805,52
1585419808,52
1585419811,52
1585419814,52
1585419817,52
1585419820,52
1585419823,52
1585419826,52
1585419829,52
1585419832,52
1585419835,52
1585419838,52
1585419841,52
1585419844,52
1585419847,52
1585419850,52
1585419853,52
1585419856,52
1585419859,52
1585419862,52
1585419865,52
1585419868,52
1585419871,52
1585419874,52
1585419877,52
1585419880,52
1585419883,52
1585419886,52
1585419889,52
1585419892,52
1585419895,52
1585419898,52
1585419901,52
1585419904,52
1585419907,52
1585419910,52
1585419913,52
1585419916,52
1585419919,52
1585419922,52
1585419925,52
1585419928,52
1585419931,52
1585419934,52
1585419937,52
1585419940,52
1585419943,52
1585419946,52
1585419949,52
1585419952,52
1585419955,52
1585419958,52
1585419961,52
1585419964,52
1585419967,52
1585419970,52
1585419973,52
1585419976,52
1585419979,52
1585419982,52
1585419985,52
1585419988,52
1585419991,52
1585419994,52
1585419997,52
1585420000,52
1585420003,52
1585420006,52
1585420009,52
1585420012,52
1585420015,52
1585420018,52
1585420021,52
1585420024,52
1585420027,52
1585420030,52
1585420033,52
1585420036,52
1585420039,52
1585420042,52
1585420045,52
1585420048,52
1585420051,52
1585420054,52
1585420057,52
1585420060,52
1585420063,52
1585420066,52
1585420069,52
1585420072,52
1585420075,52
1585420078,52
1585420081,52
1585420084,52
1585420087,52
1585420090,52
1585420093,52
1585420096,52
1585420099,52
1585420102,52
1585420105,52
1585420108,52
1585420111,52
1585420114,52
1585420117,52
1585420120,52
1585420123,52
1585420126,52
1585420129,52
1585420132,52
1585420135,52
1585420138,52
1585420141,52
1585420144,52
1585420147,52
1585420150,52
1585420153,52
1585420156,52
1585420159,52
1585420162,52
1585420165,52
1585420168,52
1585420171,52
1585420174,52
1585420177,52
1585420180,52
1585420183,52
1585420186,52
1585420189,52
1585420192,52
1585420195,52
1585420198,52
1585420201,52
1585420204,52
1585420207,52
1585420210,52
1585420213,52
1585420216,52
1585420219,52
1585420222,52
1585420225,52
1585420228,52
1585420231,52
1585420234,52
1585420237,52
1585420240,52
1585420243,52
1585420246,52
1585420249,52
1585420252,52
1585420255,52
1585420258,52
1585420261,52
1585420264,52
1585420267,52
1585420270,52
1585420273,52
1585420276,52
1585420279,52
1585420282,52
1585420285,52
1585420288,52
1585420291,52
1585420294,52
1585420297,52
1585420300,52
1585420303,52
1585420306,52
1585420309,52
1585420312,52
1585420315,52
1585420318,52
1585420321,52
1585420324,52
1585420327,52
1585420330,52
1585420333,52
t,value
1585449185,45
1585449188,49
1585449191,50
1585449194,50
1585449197,50
1585449200,50
1585449203,50
1585449206,52
1585449209,54
1585449212,54
1585449215,54
1585449218,54
1585449221,54
1585449224,54
1585449227,53
1585449230,53
1585449233,52
1585449236,52
1585449239,52
1585449242,52
1585449245,52
1585449248,52
1585449251,52
1585449254,52
1585449257,52
1585449260,52
1585449263,52
1585449266,52
1585449269,52
1585449272,52
1585449275,52
1585449278,52
1585449281,52
1585449284,52
1585449287,52
1585449290,52
1585449293,52
1585449296,52
1585449299,52
1585449302,52
1585449305,52
1585449308,52
1585449311,52
1585449314,52
1585449317,52
1585449320,52
1585449323,52
1585449326,52
1585449329,52
1585449332,52
1585449335,52
1585449338,52
1585449341,52
1585449344,52
1585449347,52
1585449350,52
1585449353,52
1585449356,52
1585449359,52
1585449362,52
1585449365,52
1585449368,52
1585449371,52
1585449374,52
1585449377,52
1585449380,52
1585449383,52
1585449386,52
1585449389,52
1585449392,52
1585449395,52
1585449398,52
1585449401,52
1585449404,52
1585449407,52
1585449410,52
1585449413,52
1585449416,52
1585449419,52
1585449422,52
1585449425,52
1585449428,52
1585449431,52
1585449434,52
1585449437,52
1585449440,52
1585449443,52
1585449446,52
1585449449,52
1585449452,52
1585449455,52
1585449458,52
1585449461,52
1585449464,52
1585449467,52
1585449470,52
1585449473,52
1585449476,52
1585449479,52
1585449482,52
1585449485,52
1585449488,52
1585449491,52
1585449494,52
1585449497,52
1585449500,52
1585449503,52
1585449506,52
1585449509,52
1585449512,52
1585449515,52
1585449518,52
1585449521,52
1585449524,52
1585449527,52
1585449530,52
1585449533,52
1585449536,52
1585449539,52
1585449542,52
1585449545,52
1585449548,52
1585449551,52
1585449554,52
1585449557,52
1585449560,52
1585449563,52
1585449566,52
1585449569,52
1585449572,52
1585449575,52
1585449578,52
1585449581,52
1585449584,52
1585449587,52
1585449590,52
1585449593,52
1585449596,52
1585449599,52
1585449602,52
1585449605,52
1585449608,52
1585449611,52
1585449614,52
1585449617,52
1585449620,52
1585449623,52
1585449626,52
1585449629,52
1585449632,52
1585449635,52
1585449638,53
1585449641,53
1585449644,53
1585449647,53
1585449650,52
1585449653,52
1585449656,52
1585449659,52
1585449662,52
1585449665,52
1585449668,52
1585449671,52
1585449674,52
1585449677,52
1585449680,52
1585449683,52
1585449686,52
1585449689,52
1585449692,52
1585449695,52
1585449698,52
1585449701,52
1585449704,52
1585449707,52
1585449710,52
1585449713,52
1585449716,52
1585449719,52
1585449722,52
1585449725,52
1585449728,52
1585449731,52
1585449734,53
1585449737,53
1585449740,52
1585449743,52
1585449746,52
1585449749,52
1585449752,52
1585449755,52
1585449758,52
1585449761,52
1585449764,52
1585449767,52
1585449770,52
1585449773,52
1585449776,52
1585449779,52
1585449782,52
1585449785,52
1585449788,52
1585449791,52
1585449794,52
1585449797,52
1585449800,52
1585449803,52
1585449806,52
1585449809,52
1585449812,52
1585449815,52
1585449818,52
1585449821,52
1585449824,52
1585449827,52
1585449830,52
1585449833,52
1585449836,52
1585449839,52
1585449842,52
1585449845,52
1585449848,52
1585449851,52
1585449854,52
1585449857,52
1585449860,52
1585449863,52
1585449866,52
1585449869,52
1585449872,52
1585449875,52
1585449878,52
1585449881,52
1585449884,52
1585449887,52
1585449890,52
1585449893,52
1585449896,52
1585449899,52
1585449902,52
1585449905,52
1585449908,52
1585449911,52
1585449914,52
1585449917,52
1585449920,52
1585449923,52
1585449926,52
1585449929,52
1585449932,52
1585449935,52
1585449938,52
1585449941,52
1585449944,52
1585449947,52
1585449950,52
1585449953,52
1585449956,52
1585449959,52
1585449962,52
1585449965,52
1585449968,52
1585449971,52
1585449974,52
1585449977,52
1585449980,52
1585449983,52
1585449986,52
1585449989,52
1585449992,52
1585449995,52
1585449998,52
1585450001,52
1585450004,52
1585450007,52
1585450010,52
1585450013,52
1585450016,52
1585450019,52
1585450022,52
1585450025,52
1585450028,52
1585450031,52
1585450034,52
1585450037,52
1585450040,52
1585450043,52
1585450046,52
1585450049,52
1585450052,52
1585450055,52
1585450058,52
1585450061,52
1585450064,52
1585450067,52
1585450070,52
1585450073,52
1585450076,52
1585450079,52
1585450082,52
1585450085,52
1585450088,52
1585450091,52
1585450094,52
1585450097,52
1585450100,52
1585450103,52
1585450106,52
1585450109,52
1585450112,52
1585450115,53
1585450118,53
1585450121,53
1585450124,52
1585450127,52
1585450130,52
1585450133,52
1585450136,52
1585450139,52
1585450142,52
1585450145,52
1585450148,52
1585450151,52
1585450154,52
1585450157,52
1585450160,52
1585450163,52
1585450166,52
1585450169,52
1585450172,52
1585450175,52
1585450178,52
1585450181,52
1585450184,52
1585450187,52
1585450190,52
1585450193,52
1585450196,52
1585450199,52
1585450202,52
1585450205,52
1585450208,52
1585450211,52
1585450214,52
1585450217,52
1585450220,52
1585450223,52
1585450226,52
1585450229,52
1585450232,52
1585450235,52
1585450238,52
1585450241,52
1585450244,52
1585450247,52
1585450250,53
1585450253,53
1585450256,53
1585450259,53
1585450262,52
1585450265,52
1585450268,52
1585450271,52
1585450274,52
1585450277,52
1585450280,52
1585450283,52
1585450286,52
1585450289,52
1585450292,52
1585450295,52
1585450298,52
1585450301,52
1585450304,52
1585450307,52
1585450310,52
1585450313,52
1585450316,52
1585450319,52
1585450322,52
1585450325,52
1585450328,52
1585450331,52
1585450334,52
1585450337,52
1585450340,52
1585450343,52
1585450346,52
1585450349,52
1585450352,52
1585450355,52
1585450358,52
1585450361,52
1585450364,52
1585450367,52
1585450370,52
1585450373,52
1585450376,52
1585450379,52
1585450382,52
1585450385,52
1585450388,52
1585450391,52
1585450394,52
1585450397,52
1585450400,52
1585450403,52
1585450406,52
1585450409,52
1585450412,52
1585450415,52
1585450418,52
1585450421,52
1585450424,52
1585450427,52
1585450430,52
1585450433,52
1585450436,52
1585450439,52
1585450442,52
1585450445,52
1585450448,52
1585450451,52
1585450454,52
1585450457,52
1585450460,52
1585450463,52
1585450466,52
1585450469,52
1585450472,53
1585450475,53
1585450478,53
1585450481,52
1585450484,52
1585450487,52
1585450490,52
1585450493,52
1585450496,52
1585450499,52
1585450502,52
1585450505,52
1585450508,52
1585450511,52
1585450514,52
1585450517,52
1585450520,52
1585450523,52
1585450526,52
1585450529,52
1585450532,52
1585450535,52
1585450538,52
1585450541,52
1585450544,52
1585450547,52
1585450550,52
1585450553,53
1585450556,53
1585450559,53
1585450562,53
1585450565,52
1585450568,52
1585450571,52
1585450574,52
1585450577,52
1585450580,52
1585450583,52
1585450586,52
1585450589,52
1585450592,52
1585450595,52
1585450598,52
1585450601,52
1585450604,52
1585450607,52
1585450610,52
1585450613,52
1585450616,52
1585450619,52
1585450622,52
1585450625,52
1585450628,52
1585450631,52
1585450634,52
1585450637,52
1585450640,52
1585450643,52
1585450646,52
1585450649,52
1585450652,52
1585450655,52
1585450658,52
1585450661,52
1585450664,52
1585450667,52
1585450670,52
1585450673,52
1585450676,52
1585450679,52
1585450682,52
1585450685,52
1585450688,52
1585450691,52
1585450694,52
1585450697,52
1585450700,52
1585450703,52
1585450706,52
1585450709,52
1585450712,52
1585450715,52
1585450718,52
1585450721,52
1585450724,52
1585450727,52
1585450730,52
1585450733,52
1585450736,52
1585450739,52
1585450742,52
1585450745,52
1585450748,52
1585450751,52
1585450754,52
1585450757,52
1585450760,52
1585450763,52
1585450766,52
1585450769,52
1585450772,52
1585450775,52
1585450778,52
1585450781,52
1585450784,52
1585450787,52
1585450790,52
1585450793,52
1585450796,52
1585450799,52
1585450802,52
1585450805,52
1585450808,52
1585450811,52
1585450814,52
